sexo,edad,weights,educ,perc,type
hombre,25,4671337,no_lic,0.654,all
hombre,26,4577210,lic_law,0.03,all
hombre,26,4577210,lic_non_law,0.301,all
hombre,26,4577210,no_lic,0.67,all
hombre,27,4582976,lic_law,0.026,all
hombre,27,4582976,lic_non_law,0.308,all
hombre,27,4582976,no_lic,0.666,all
hombre,28,4392035,lic_law,0.03,all
hombre,28,4392035,lic_non_law,0.295,all
hombre,28,4392035,no_lic,0.675,all
hombre,29,4296322,lic_law,0.025,all
hombre,29,4296322,lic_non_law,0.277,all
hombre,29,4296322,no_lic,0.698,all
hombre,30,4530229,lic_law,0.03,all
hombre,30,4530229,lic_non_law,0.259,all
hombre,30,4530229,no_lic,0.711,all
hombre,31,4218612,lic_law,0.025,all
hombre,31,4218612,lic_non_law,0.265,all
hombre,31,4218612,no_lic,0.71,all
hombre,32,4125065,lic_law,0.027,all
hombre,32,4125065,lic_non_law,0.271,all
hombre,32,4125065,no_lic,0.702,all
hombre,33,4113100,lic_law,0.027,all
hombre,33,4113100,lic_non_law,0.246,all
hombre,33,4113100,no_lic,0.726,all
hombre,34,3925838,lic_law,0.022,all
hombre,34,3925838,lic_non_law,0.251,all
hombre,34,3925838,no_lic,0.727,all
hombre,35,4026899,lic_law,0.023,all
hombre,35,4026899,lic_non_law,0.227,all
hombre,35,4026899,no_lic,0.75,all
hombre,36,4121327,lic_law,0.025,all
hombre,36,4121327,lic_non_law,0.217,all
hombre,36,4121327,no_lic,0.758,all
hombre,37,3917914,lic_law,0.024,all
hombre,37,3917914,lic_non_law,0.222,all
hombre,37,3917914,no_lic,0.755,all
hombre,38,3983269,lic_law,0.026,all
hombre,38,3983269,lic_non_law,0.201,all
hombre,38,3983269,no_lic,0.773,all
hombre,39,4013920,lic_law,0.026,all
hombre,39,4013920,lic_non_law,0.197,all
hombre,39,4013920,no_lic,0.777,all
hombre,40,4345865,lic_law,0.028,all
hombre,40,4345865,lic_non_law,0.203,all
hombre,40,4345865,no_lic,0.77,all
hombre,41,4110445,lic_law,0.021,all
hombre,41,4110445,lic_non_law,0.205,all
hombre,41,4110445,no_lic,0.774,all
hombre,42,3811850,lic_law,0.02,all
hombre,42,3811850,lic_non_law,0.19,all
hombre,42,3811850,no_lic,0.789,all
hombre,43,4098217,lic_law,0.023,all
hombre,43,4098217,lic_non_law,0.175,all
hombre,43,4098217,no_lic,0.802,all
hombre,44,3676876,lic_law,0.017,all
hombre,44,3676876,lic_non_law,0.162,all
hombre,44,3676876,no_lic,0.821,all
hombre,45,3901722,lic_law,0.022,all
hombre,45,3901722,lic_non_law,0.172,all
hombre,45,3901722,no_lic,0.805,all
hombre,46,3977367,lic_law,0.019,all
hombre,46,3977367,lic_non_law,0.164,all
hombre,46,3977367,no_lic,0.816,all
hombre,47,3855870,lic_law,0.02,all
hombre,47,3855870,lic_non_law,0.167,all
hombre,47,3855870,no_lic,0.813,all
hombre,48,3757891,lic_law,0.023,all
hombre,48,3757891,lic_non_law,0.157,all
hombre,48,3757891,no_lic,0.82,all
hombre,49,3664340,lic_law,0.018,all
hombre,49,3664340,lic_non_law,0.146,all
hombre,49,3664340,no_lic,0.837,all
hombre,50,4077498,lic_law,0.019,all
hombre,50,4077498,lic_non_law,0.148,all
hombre,50,4077498,no_lic,0.832,all
hombre,51,3683723,lic_law,0.018,all
hombre,51,3683723,lic_non_law,0.157,all
hombre,51,3683723,no_lic,0.825,all
hombre,52,3308417,lic_law,0.02,all
hombre,52,3308417,lic_non_law,0.168,all
hombre,52,3308417,no_lic,0.812,all
hombre,53,3360398,lic_law,0.021,all
hombre,53,3360398,lic_non_law,0.15,all
hombre,53,3360398,no_lic,0.83,all
hombre,54,3282316,lic_law,0.018,all
hombre,54,3282316,lic_non_law,0.166,all
