group,ingocup,weights,income_perc,median
Mujeres abogadas,27950,248,0.1,11900
Mujeres abogadas,28000,3725,1,11900
Mujeres abogadas,29000,47,0,11900
Mujeres abogadas,30000,10152,2.8,11900
Mujeres abogadas,30100,2020,0.6,11900
Mujeres abogadas,30900,120,0,11900
Mujeres abogadas,31800,60,0,11900
Mujeres abogadas,32000,701,0.2,11900
Mujeres abogadas,34000,702,0.2,11900
Mujeres abogadas,34400,347,0.1,11900
Mujeres abogadas,35000,1121,0.3,11900
Mujeres abogadas,36000,581,0.2,11900
Mujeres abogadas,38000,42,0,11900
Mujeres abogadas,40000,5032,1.4,11900
Mujeres abogadas,40850,367,0.1,11900
Mujeres abogadas,43000,502,0.1,11900
Mujeres abogadas,44000,21,0,11900
Mujeres abogadas,46000,1501,0.4,11900
Mujeres abogadas,48000,361,0.1,11900
Mujeres abogadas,50000,1162,0.3,11900
Mujeres abogadas,52000,1353,0.4,11900
Mujeres abogadas,56000,100,0,11900
Mujeres abogadas,58000,74,0,11900
Mujeres abogadas,60000,1887,0.5,11900
Mujeres abogadas,62000,102,0,11900
Mujeres abogadas,63000,257,0.1,11900
Mujeres abogadas,65000,161,0,11900
Mujeres abogadas,70000,222,0.1,11900
Mujeres abogadas,80000,1484,0.4,11900
Mujeres abogadas,92000,41,0,11900
Mujeres abogadas,100000,385,0.1,11900
Mujeres abogadas,129000,99,0,11900
Mujeres no abogadas,33,95,0,8586
Mujeres no abogadas,100,92,0,8586
Mujeres no abogadas,120,52,0,8586
Mujeres no abogadas,125,62,0,8586
Mujeres no abogadas,129,84,0,8586
Mujeres no abogadas,150,2353,0,8586
Mujeres no abogadas,152,620,0,8586
Mujeres no abogadas,160,1331,0,8586
Mujeres no abogadas,200,4509,0,8586
Mujeres no abogadas,215,431,0,8586
Mujeres no abogadas,238,117,0,8586
Mujeres no abogadas,240,601,0,8586
Mujeres no abogadas,250,501,0,8586
Mujeres no abogadas,255,1161,0,8586
Mujeres no abogadas,258,88,0,8586
Mujeres no abogadas,270,884,0,8586
Mujeres no abogadas,290,99,0,8586
Mujeres no abogadas,300,10023,0.1,8586
Mujeres no abogadas,301,53,0,8586
Mujeres no abogadas,326,112,0,8586
Mujeres no abogadas,340,607,0,8586
Mujeres no abogadas,344,441,0,8586
Mujeres no abogadas,350,1774,0,8586
Mujeres no abogadas,360,98,0,8586
Mujeres no abogadas,387,404,0,8586
Mujeres no abogadas,400,11481,0.1,8586
Mujeres no abogadas,409,214,0,8586
Mujeres no abogadas,415,436,0,8586
Mujeres no abogadas,430,10786,0.1,8586
Mujeres no abogadas,450,713,0,8586
Mujeres no abogadas,480,36,0,8586
Mujeres no abogadas,489,126,0,8586
Mujeres no abogadas,500,16397,0.1,8586
Mujeres no abogadas,516,752,0,8586
Mujeres no abogadas,559,229,0,8586
Mujeres no abogadas,581,95,0,8586
Mujeres no abogadas,600,18200,0.1,8586
Mujeres no abogadas,602,828,0,8586
Mujeres no abogadas,625,2094,0,8586
Mujeres no abogadas,645,11341,0.1,8586
Mujeres no abogadas,660,829,0,8586
Mujeres no abogadas,688,2421,0,8586
Mujeres no abogadas,700,4090,0,8586
Mujeres no abogadas,731,688,0,8586
Mujeres no abogadas,750,269,0,8586
Mujeres no abogadas,752,1011,0,8586
Mujeres no abogadas,770,181,0,8586
Mujeres no abogadas,774,130,0,8586
Mujeres no abogadas,800,17544,0.1,8586
Mujeres no abogadas,860,46242,0.3,8586
Mujeres no abogadas,900,4808,0,8586
Mujeres no abogadas,946,486,0,8586
Mujeres no abogadas,950,96,0,8586
Mujeres no abogadas,980,52,0,8586
Mujeres no abogadas,989,203,0,8586
Mujeres no abogadas,1000,57891,0.4,8586
Mujeres no abogadas,1004,88,0,8586
Mujeres no abogadas,1032,5143,0,8586
Mujeres no abogadas,1050,46,0,8586
Mujeres no abogadas,1070,129,0,8586
Mujeres no abogadas,1075,16543,0.1,8586
Mujeres no abogadas,1100,1144,0,8586
Mujeres no abogadas,1118,539,0,8586
Mujeres no abogadas,1135,315,0,8586
Mujeres no abogadas,1150,72,0,8586
Mujeres no abogadas,1161,110,0,8586
Mujeres no abogadas,1175,103,0,8586
Mujeres no abogadas,1200,23432,0.1,8586
Mujeres no abogadas,1204,991,0,8586
Mujeres no abogadas,1225,472,0,8586
Mujeres no abogadas,1230,1052,0,8586
Mujeres no abogadas,1247,242,0,8586
Mujeres no abogadas,1250,2046,0,8586
Mujeres no abogadas,1280,91,0,8586
Mujeres no abogadas,1290,72535,0.5,8586
Mujeres no abogadas,1298,229,0,8586
Mujeres no abogadas,1299,35,0,8586
Mujeres no abogadas,1300,1808,0,8586
Mujeres no abogadas,1320,191,0,8586
Mujeres no abogadas,1333,36,0,8586
Mujeres no abogadas,1360,44,0,8586
Mujeres no abogadas,1372,114,0,8586
Mujeres no abogadas,1376,2327,0,8586
Mujeres no abogadas,1400,7104,0,8586
Mujeres no abogadas,1440,26,0,8586
Mujeres no abogadas,1450,973,0,8586
Mujeres no abogadas,1462,109,0,8586
Mujeres no abogadas,1500,34382,0.2,8586
Mujeres no abogadas,1505,13236,0.1,8586
Mujeres no abogadas,1548,3155,0,8586
Mujeres no abogadas,1560,42,0,8586
Mujeres no abogadas,1600,11112,0.1,8586
Mujeres no abogadas,1634,838,0,8586
Mujeres no abogadas,1667,347,0,8586
Mujeres no abogadas,1677,540,0,8586
Mujeres no abogadas,1700,2157,0,8586
Mujeres no abogadas,1710,135,0,8586
Mujeres no abogadas,1720,75704,0.5,8586
Mujeres no abogadas,1735,184,0,8586
Mujeres no abogadas,1737,246,0,8586
Mujeres no abogadas,1740,61,0,8586
Mujeres no abogadas,1750,622,0,8586
Mujeres no abogadas,1782,199,0,8586
Mujeres no abogadas,1800,14393,0.1,8586
Mujeres no abogadas,1806,5035,0,8586
Mujeres no abogadas,1829,145,0,8586
Mujeres no abogadas,1849,745,0,8586
Mujeres no abogadas,1860,46,0,8586
Mujeres no abogadas,1870,46,0,8586
Mujeres no abogadas,1880,93,0,8586
Mujeres no abogadas,1892,86,0,8586
Mujeres no abogadas,1900,2855,0,8586
Mujeres no abogadas,1935,17223,0.1,8586
Mujeres no abogadas,1940,1410,0,8586
Mujeres no abogadas,1962,577,0,8586
Mujeres no abogadas,1965,36,0,8586
Mujeres no abogadas,1978,261,0,8586
Mujeres no abogadas,1999,61,0,8586
Mujeres no abogadas,2000,98744,0.6,8586
Mujeres no abogadas,2028,88,0,8586
Mujeres no abogadas,2064,4487,0,8586
Mujeres no abogadas,2078,110,0,8586
Mujeres no abogadas,2083,491,0,8586
Mujeres no abogadas,2098,1294,0,8586
Mujeres no abogadas,2100,3186,0,8586
Mujeres no abogadas,2140,103,0,8586
Mujeres no abogadas,2150,173540,1.1,8586
Mujeres no abogadas,2193,248,0,8586
Mujeres no abogadas,2200,10929,0.1,8586
Mujeres no abogadas,2221,107,0,8586
Mujeres no abogadas,2225,165,0,8586
Mujeres no abogadas,2250,491,0,8586
Mujeres no abogadas,2254,124,0,8586
Mujeres no abogadas,2270,281,0,8586
Mujeres no abogadas,2300,610,0,8586
Mujeres no abogadas,2322,2761,0,8586
Mujeres no abogadas,2365,4190,0,8586
Mujeres no abogadas,2395,399,0,8586
Mujeres no abogadas,2400,31803,0.2,8586
Mujeres no abogadas,2408,1565,0,8586
Mujeres no abogadas,2451,155,0,8586
Mujeres no abogadas,2469,872,0,8586
Mujeres no abogadas,2500,19472,0.1,8586
Mujeres no abogadas,2550,1104,0,8586
Mujeres no abogadas,2560,423,0,8586
Mujeres no abogadas,2580,151241,0.9,8586
Mujeres no abogadas,2600,11658,0.1,8586
Mujeres no abogadas,2639,100,0,8586
Mujeres no abogadas,2647,167,0,8586
Mujeres no abogadas,2650,76,0,8586
Mujeres no abogadas,2660,137,0,8586
Mujeres no abogadas,2666,261,0,8586
Mujeres no abogadas,2686,2424,0,8586
Mujeres no abogadas,2700,5567,0,8586
Mujeres no abogadas,2709,221,0,8586
Mujeres no abogadas,2752,100,0,8586
Mujeres no abogadas,2795,6983,0,8586
Mujeres no abogadas,2800,15845,0.1,8586
Mujeres no abogadas,2821,97,0,8586
Mujeres no abogadas,2859,22,0,8586
Mujeres no abogadas,2870,36,0,8586
Mujeres no abogadas,2900,464,0,8586
Mujeres no abogadas,2902,294,0,8586
Mujeres no abogadas,2903,341,0,8586
Mujeres no abogadas,2924,2232,0,8586
Mujeres no abogadas,2950,803,0,8586
